ID	Địa chỉ	Diện tích	Số phòng ngủ	Số toilet	Nội thất	Mức giá	Ngày đăng tin
41292062.0	2	30.0	1.0	1.0	2	5.0	2024-10-23
38724091.0	9	30.0	2.0	1.0	0	1.2	2024-10-23
40534756.0	9	40.0	1.0	1.0	0	1.4	2024-10-23
41247411.0	15	35.0	1.0	1.0	2	4.5	2024-10-18
40541098.0	9	30.0	1.0	1.0	0	1.5	2024-10-23
38724125.0	9	30.0	2.0	2.0	0	1.5	2024-10-23
41292290.0	1	23.0	1.0	1.0	2	3.5	2024-10-23
40733506.0	13	50.0	2.0	2.0	2	9.5	2024-10-23
41292238.0	15	30.0	1.0	1.0	1	5.0	2024-10-23
41268561.0	15	21.0	1.0	1.0	0	3.95	2024-10-21
41291710.0	2	35.0	1.0	1.0	2	4.9	2024-10-23
39917644.0	17	35.0	1.0	1.0	2	3.5	2024-10-16
40295676.0	16	20.0	1.0	1.0	1	2.8	2024-10-23
41291687.0	1	10.0	1.0	1.0	0	2.9	2024-10-23
41291283.0	14	45.0	2.0	1.0	0	6.5	2024-10-23
41278641.0	3	25.0	1.0	1.0	2	4.5	2024-10-22
41265395.0	3	25.0	1.0	1.0	2	5.2	2024-10-20
41291360.0	14	40.0	1.0	1.0	2	8.8	2024-10-23
40960900.0	16	25.0	1.0	1.0	0	2.7	2024-10-23
41290130.0	7	45.0	1.0	1.0	2	7.0	2024-10-23
41289321.0	2	30.0	1.0	1.0	2	6.2	2024-10-23
41269516.0	3	35.0	1.0	1.0	2	6.5	2024-10-21
40957119.0	3	25.0	1.0	1.0	1	5.0	2024-10-17
41288332.0	9	25.0	1.0	1.0	2	3.9	2024-10-23
41288082.0	9	25.0	1.0	1.0	2	3.8	2024-10-23
41179465.0	8	28.0	1.0	1.0	2	4.5	2024-10-23
41288716.0	1	35.0	1.0	1.0	2	6.7	2024-10-23
41288343.0	1	30.0	1.0	1.0	0	6.2	2024-10-23
41290898.0	1	35.0	1.0	1.0	2	6.0	2024-10-23
40722842.0	1	35.0	1.0	1.0	2	6.5	2024-10-17
41290562.0	1	25.0	1.0	1.0	0	6.5	2024-10-23
41060294.0	14	18.0	1.0	1.0	0	3.2	2024-10-16
40655381.0	2	50.0	1.0	1.0	0	1.4	2024-09-25
41290570.0	2	35.0	1.0	1.0	2	6.5	2024-10-23
41228398.0	16	30.0	3.0	3.0	0	1.8	2024-10-16
41290567.0	2	35.0	1.0	1.0	2	6.5	2024-10-23
41282230.0	1	30.0	1.0	1.0	0	2.6	2024-10-22
41262991.0	14	15.0	1.0	1.0	2	3.5	2024-10-20
41267197.0	2	25.0	1.0	1.0	0	5.1	2024-10-20
41290533.0	1	30.0	1.0	1.0	2	6.7	2024-10-23
37841871.0	1	28.0	1.0	1.0	2	6.2	2024-10-16
41290463.0	22	28.0	1.0	1.0	2	3.5	2024-10-23
41257566.0	14	35.0	1.0	1.0	2	4.7	2024-10-19
41290455.0	14	35.0	1.0	1.0	2	5.0	2024-10-23
41290453.0	1	35.0	1.0	1.0	0	5.2	2024-10-23
41290448.0	1	40.0	1.0	1.0	2	5.0	2024-10-23
41290439.0	1	35.0	1.0	1.0	2	5.8	2024-10-22
41278496.0	8	15.0	1.0	1.0	0	4.0	2024-10-22
41290434.0	14	40.0	1.0	1.0	2	6.7	2024-10-22
41150607.0	14	40.0	1.0	1.0	2	5.3	2024-10-22
41185643.0	13	35.0	1.0	1.0	2	5.3	2024-10-22
41185608.0	1	40.0	1.0	1.0	2	6.8	2024-10-22
41290358.0	4	30.0	1.0	1.0	2	6.0	2024-10-22
41159904.0	3	40.0	1.0	1.0	0	7.5	2024-10-22
41290288.0	9	35.0	1.0	1.0	0	4.9	2024-10-22
40387240.0	14	27.0	1.0	1.0	2	5.2	2024-10-22
40289098.0	13	40.0	1.0	1.0	2	6.5	2024-10-22
41290248.0	9	41.0	1.0	1.0	2	5.5	2024-10-22
41194075.0	9	30.0	1.0	1.0	2	1.65	2024-10-22
41285995.0	2	30.0	1.0	1.0	2	5.9	2024-10-22
41290302.0	1	35.0	1.0	1.0	2	3.2	2024-10-22
40149216.0	9	35.0	1.0	1.0	2	4.3	2024-10-22
39814467.0	1	35.0	1.0	1.0	0	4.8	2024-10-22
41290168.0	1	30.0	1.0	1.0	0	1.5	2024-10-22
41020614.0	14	35.0	1.0	1.0	2	4.8	2024-10-17
41290118.0	1	40.0	1.0	1.0	2	8.7	2024-10-22
41290087.0	8	15.0	1.0	1.0	0	4.0	2024-10-22
36623324.0	7	25.0	1.0	1.0	1	3.8	2024-10-22
39558920.0	7	25.0	1.0	1.0	0	3.8	2024-10-22
41290127.0	1	35.0	1.0	1.0	2	6.0	2024-10-22
39268661.0	5	30.0	1.0	1.0	2	5.5	2024-10-16
40043707.0	1	30.0	1.0	1.0	2	6.0	2024-10-16
40764235.0	7	30.0	1.0	1.0	2	7.3	2024-10-21
40931305.0	7	40.0	1.0	1.0	2	5.5	2024-10-19
39806427.0	9	30.0	1.0	1.0	1	3.5	2024-10-19
